Date,Equity_LSTM,Equity_Hybrid,Positions_LSTM,Positions_Hybrid
2025-05-30,1531.0682571840946,1481.2701646225585,5,5
2025-05-30,1531.0682571840946,1481.2701646225585,5,5
2025-05-30,1531.0682571840946,1481.2701646225585,5,5
2025-05-30,1531.0682571840946,1481.2701646225585,5,5
2025-06-02,1531.0682571840946,1481.2701646225585,5,5
2025-06-02,1531.0682571840946,1481.2701646225585,5,5
2025-06-02,1531.0682571840946,1481.2701646225585,5,5
2025-06-02,1531.0682571840946,1481.2701646225585,5,5
2025-06-02,1531.0682571840946,1481.2701646225585,5,5
2025-06-03,1531.0682571840946,1481.2701646225585,5,5
2025-06-03,1531.0682571840946,1481.2701646225585,5,5
2025-06-03,1531.0682571840946,1481.2701646225585,5,5
2025-06-03,1531.0682571840946,1481.2701646225585,5,5
2025-06-03,1531.0682571840946,1481.2701646225585,5,5
2025-06-04,1534.9632546819164,1485.1651621203803,4,4
2025-06-04,1534.9632546819164,1485.1651621203803,4,4
2025-06-04,1534.9632546819164,1485.1651621203803,4,4
2025-06-04,1534.9632546819164,1485.1651621203803,4,4
2025-06-04,1534.9632546819164,1485.1651621203803,4,4
2025-06-05,1542.3686078364724,1492.5705152749363,3,3
2025-06-05,1542.3686078364724,1492.5705152749363,3,3
2025-06-05,1540.1638133159245,1490.3657207543883,4,4
2025-06-05,1540.1638133159245,1490.3657207543883,4,4
2025-06-05,1540.1638133159245,1490.3657207543883,4,4
2025-06-06,1540.1638133159245,1490.3657207543883,4,4
2025-06-06,1540.1638133159245,1490.3657207543883,4,4
2025-06-06,1540.1638133159245,1490.3657207543883,4,4
2025-06-06,1537.9590187953766,1488.1609262338404,5,5
2025-06-06,1537.9590187953766,1488.1609262338404,5,5
2025-06-09,1537.9590187953766,1488.1609262338404,5,5
2025-06-09,1537.9590187953766,1488.1609262338404,5,5
2025-06-09,1537.9590187953766,1488.1609262338404,5,5
2025-06-09,1537.9590187953766,1488.1609262338404,5,5
2025-06-09,1537.9590187953766,1488.1609262338404,5,5
2025-06-10,1564.700889695777,1514.902797134241,3,3
2025-06-10,1564.700889695777,1514.902797134241,3,3
2025-06-10,1564.700889695777,1514.902797134241,3,3
2025-06-10,1564.700889695777,1514.902797134241,3,3
2025-06-10,1564.700889695777,1514.902797134241,3,3
2025-06-11,1566.1129747041448,1516.3148821426087,2,2
2025-06-11,1566.1129747041448,1516.3148821426087,2,2
2025-06-11,1563.9081801835969,1514.1100876220607,3,3
2025-06-11,1563.9081801835969,1514.1100876220607,3,3
2025-06-11,1563.9081801835969,1514.1100876220607,3,3
2025-06-12,1563.9081801835969,1514.1100876220607,3,3
2025-06-12,1563.9081801835969,1514.1100876220607,3,3
2025-06-12,1563.9081801835969,1514.1100876220607,3,3
2025-06-12,1561.703385663049,1511.9052931015128,4,4
2025-06-12,1561.703385663049,1511.9052931015128,4,4
2025-06-13,1561.703385663049,1511.9052931015128,4,4
2025-06-13,1561.703385663049,1511.9052931015128,4,4
2025-06-13,1561.703385663049,1511.9052931015128,4,4
2025-06-13,1559.498591142501,1509.700498580965,5,5
2025-06-13,1559.498591142501,1509.700498580965,5,5
2025-06-16,1559.498591142501,1509.700498580965,5,5
2025-06-16,1559.498591142501,1509.700498580965,5,5
2025-06-16,1559.498591142501,1509.700498580965,5,5
2025-06-16,1559.498591142501,1509.700498580965,5,5
2025-06-16,1559.498591142501,1509.700498580965,5,5
2025-06-17,1559.498591142501,1509.700498580965,5,5
2025-06-17,1559.498591142501,1509.700498580965,5,5
2025-06-17,1559.498591142501,1509.700498580965,5,5
2025-06-17,1559.498591142501,1509.700498580965,5,5
2025-06-17,1559.498591142501,1509.700498580965,5,5
2025-06-18,1559.498591142501,1509.700498580965,5,5
2025-06-18,1559.498591142501,1509.700498580965,5,5
2025-06-18,1559.498591142501,1509.700498580965,5,5
2025-06-18,1559.498591142501,1509.700498580965,5,5
2025-06-18,1559.498591142501,1509.700498580965,5,5
2025-06-20,1571.123205293639,1521.325112732103,3,3
2025-06-20,1571.123205293639,1521.325112732103,3,3
2025-06-20,1571.123205293639,1521.325112732103,3,3
2025-06-20,1571.123205293639,1521.325112732103,3,3
2025-06-20,1571.123205293639,1521.325112732103,3,3
2025-06-23,1571.123205293639,1521.325112732103,3,3
2025-06-23,1571.123205293639,1521.325112732103,3,3
2025-06-23,1571.123205293639,1521.325112732103,3,3
2025-06-23,1568.973205293639,1519.175112732103,4,4
2025-06-23,1568.973205293639,1519.175112732103,4,4
2025-06-24,1568.973205293639,1519.175112732103,4,4
2025-06-24,1566.768410773091,1516.970318211555,5,5
2025-06-24,1566.768410773091,1516.970318211555,5,5
2025-06-24,1566.768410773091,1516.970318211555,5,5
2025-06-24,1566.768410773091,1516.970318211555,5,5
2025-06-25,1544.5265683008747,1494.7284757393386,5,5
2025-06-25,1544.5265683008747,1494.7284757393386,5,5
2025-06-25,1544.5265683008747,1494.7284757393386,5,5
2025-06-25,1544.5265683008747,1494.7284757393386,5,5
2025-06-25,1544.5265683008747,1494.7284757393386,5,5
2025-06-26,1542.929395681597,1493.131303120061,4,4
2025-06-26,1542.929395681597,1493.131303120061,4,4
2025-06-26,1540.779395681597,1490.9813031200608,5,5
2025-06-26,1540.779395681597,1490.9813031200608,5,5
2025-06-26,1540.779395681597,1490.9813031200608,5,5
2025-06-27,1546.8524145271751,1497.054321965639,4,4
2025-06-27,1544.702414527175,1494.904321965639,5,5
2025-06-27,1544.702414527175,1494.904321965639,5,5
2025-06-27,1544.702414527175,1494.904321965639,5,5
2025-06-27,1544.702414527175,1494.904321965639,5,5
2025-06-30,1544.702414527175,1494.904321965639,5,5
2025-06-30,1544.702414527175,1494.904321965639,5,5
2025-06-30,1544.702414527175,1494.904321965639,5,5
2025-06-30,1544.702414527175,1494.904321965639,5,5
2025-06-30,1544.702414527175,1494.904321965639,5,5
2025-07-01,1544.702414527175,1494.904321965639,5,5
2025-07-01,1544.702414527175,1494.904321965639,5,5
2025-07-01,1544.702414527175,1494.904321965639,5,5
2025-07-01,1544.702414527175,1494.904321965639,5,5
2025-07-01,1544.702414527175,1494.904321965639,5,5
2025-07-02,1544.702414527175,1494.904321965639,5,5
2025-07-02,1544.702414527175,1494.904321965639,5,5
2025-07-02,1544.702414527175,1494.904321965639,5,5
2025-07-02,1544.702414527175,1494.904321965639,5,5
2025-07-02,1544.702414527175,1494.904321965639,5,5
2025-07-03,1544.702414527175,1494.904321965639,5,5
2025-07-03,1544.702414527175,1494.904321965639,5,5
2025-07-03,1544.702414527175,1494.904321965639,5,5
2025-07-03,1544.702414527175,1494.904321965639,5,5
2025-07-03,1544.702414527175,1494.904321965639,5,5
2025-07-07,1517.0475420336566,1467.2494494721204,4,4
2025-07-07,1517.0475420336566,1467.2494494721204,4,4
2025-07-07,1517.0475420336566,1467.2494494721204,4,4
2025-07-07,1514.8975420336565,1465.0994494721203,5,5
2025-07-07,1514.8975420336565,1465.0994494721203,5,5
2025-07-08,1519.6310682576282,1469.832975696092,4,4
2025-07-08,1519.6310682576282,1469.832975696092,4,4
